datetime, value
2016011917,0
2016011918,0
2016011919,2
2016011920,19
2016011921,6
2016011922,8
2016011923,63
2016012000,10
2016012001,26
2016012002,185
2016012003,644
2016012004,-999
2016012005,747
2016012006,541
2016012007,122
2016012008,20
2016012009,0
2016012010,0
2016012011,0
2016012012,0
2016012013,0
2016012014,0
2016012015,0
2016012016,0
2016012017,0
2016012018,0
2016012019,2
2016012020,23
2016012021,144
2016012022,72
2016012023,49
2016012100,158
2016012101,45
2016012102,377
2016012103,-999
2016012104,196
2016012105,343
2016012106,101
2016012107,77
2016012108,80
2016012109,0
2016012110,0
2016012111,0
2016012112,0
2016012113,0
2016012114,0
2016012115,0
2016012116,0
2016012117,0
2016012118,0
2016012119,0
2016012120,4
2016012121,3
2016012122,3
2016012123,3
2016012200,3
2016012201,3
2016012202,3
2016012203,7
2016012204,16
2016012205,55
2016012206,103
2016012207,50
2016012208,48
2016012209,0
2016012210,0
2016012211,0
2016012212,0
2016012213,0
2016012214,0
2016012215,0
2016012216,0
2016012217,0
2016012218,0
2016012219,1
2016012220,335
2016012221,697
2016012222,612
2016012223,336
2016012300,107
2016012301,55
2016012302,225
2016012303,382
2016012304,742
2016012305,661
2016012306,824
2016012307,628
2016012308,252
2016012309,0
2016012310,0
2016012311,0
2016012312,0
2016012313,0
2016012314,0
2016012315,0
2016012316,0
2016012317,0
2016012318,0
2016012319,1
2016012320,473
2016012321,846
2016012322,966
2016012323,1004
2016012400,1002
2016012401,999
2016012402,1001
2016012403,1017
2016012404,1012
2016012405,899
2016012406,915
2016012407,708
2016012408,332
2016012409,0
2016012410,0
2016012411,0
2016012412,0
2016012413,0
2016012414,0
2016012415,0
2016012416,0
2016012417,0
2016012418,0
2016012419,0
2016012420,460
2016012421,834
2016012422,958
2016012423,988
2016012500,976
2016012501,960
2016012502,969
2016012503,1023
2016012504,1028
2016012505,1015
2016012506,966
2016012507,804
2016012508,377
2016012509,0
2016012510,0
2016012511,0
2016012512,0
2016012513,0
2016012514,0
2016012515,0
2016012516,0
2016012517,0
2016012518,0
2016012519,0
2016012520,429
2016012521,816
2016012522,943
2016012523,980
2016012600,977
2016012601,938
2016012602,886
2016012603,911
2016012604,737
2016012605,688
2016012606,490
2016012607,499
2016012608,111
2016012609,0
2016012610,0
2016012611,0
2016012612,0
2016012613,0
2016012614,0
2016012615,0
2016012616,0
2016012617,0
2016012618,0
2016012619,0
2016012620,7
2016012621,21
2016012622,37
2016012623,8
2016012700,5
2016012701,-999
2016012702,-999
2016012703,24
2016012704,350
2016012705,-999
2016012706,396
2016012707,58
2016012708,40
2016012709,0
2016012710,0
2016012711,0
2016012712,0
2016012713,0
2016012714,0
2016012715,0
2016012716,0
2016012717,0
2016012718,0
2016012719,0
2016012720,240
2016012721,461
2016012722,529
2016012723,23
2016012800,-999
2016012801,6
2016012802,10
2016012803,459
2016012804,888
2016012805,917
2016012806,856
2016012807,662
2016012808,342
2016012809,0
2016012810,0
2016012811,0
2016012812,0
2016012813,0
2016012814,0
2016012815,0
2016012816,0
2016012817,0
2016012818,0
2016012819,-999
2016012820,87
2016012821,72
2016012822,767
2016012823,268
2016012900,837
2016012901,648
2016012902,78
2016012903,316
2016012904,896
2016012905,-999
2016012906,-999
2016012907,-999
2016012908,-999
2016012909,0
2016012910,0
2016012911,0
2016012912,0
2016012913,0
2016012914,0
2016012915,0
2016012916,0
2016012917,0
2016012918,0
2016012919,0
2016012920,45
2016012921,147
2016012922,707
2016012923,780
2016013000,201
2016013001,716
2016013002,211
2016013003,50
2016013004,44
2016013005,60
2016013006,7
2016013007,13
2016013008,9
2016013009,0
2016013010,0
2016013011,0
2016013012,0
2016013013,0
2016013014,0
2016013015,0
2016013016,0
2016013017,0
2016013018,0
2016013019,0
2016013020,4
2016013021,5
2016013022,6
2016013023,28
2016013100,18
2016013101,12
2016013102,7
2016013103,4
2016013104,4
2016013105,3
2016013106,9
2016013107,4
2016013108,3
2016013109,0
2016013110,0
2016013111,0
2016013112,0
2016013113,0
2016013114,0
2016013115,0
2016013116,0
2016013117,0
2016013118,0
2016013119,0
2016013120,448
2016013121,852
2016013122,976
2016013123,1020
2016020100,1021
2016020101,1022
2016020102,1024
2016020103,1030
2016020104,1033
2016020105,-999
2016020106,918
2016020107,750
2016020108,413
2016020109,0
2016020110,0
2016020111,0
2016020112,0
2016020113,0
2016020114,0
2016020115,0
2016020116,0
2016020117,0
2016020118,0
2016020119,-999
2016020120,540
2016020121,713
2016020122,811
2016020123,916
2016020200,775
2016020201,122
2016020202,627
2016020203,87
2016020204,57
2016020205,79
2016020206,72
2016020207,108
2016020208,52
2016020209,0
2016020210,0
2016020211,0
2016020212,0
2016020213,0
2016020214,0
2016020215,0
2016020216,0
2016020217,0
2016020218,0
2016020219,0
2016020220,29
2016020221,14
2016020222,31
2016020223,53
2016020300,48
2016020301,63
2016020302,58
2016020303,416
2016020304,271
2016020305,505
2016020306,785
2016020307,619
2016020308,257
2016020309,0
2016020310,0
2016020311,0
