Time,Flow_rate,Temp_input,Temp_output,Delta_temp,Amb_temp,Power_output,GHI,DNI,pred_GHI,pred_DNI,pred_Amb_temp
02-05-2017 10:30,0.0,0.0,0.0,0.0,13.416666666666666,0.0,487.5,517.5,487.5,517.5,13.416666666666666
02-05-2017 11:00,2.0878333333333337,37.260666666666665,41.669999999999995,4.409333333333332,13.716666666666669,77.19112696666663,435.0,270.0,435.0,270.0,13.716666666666669
02-05-2017 11:30,6.653166666666667,77.899,84.55283333333333,6.653833333333327,14.083333333333334,180.2205460649998,477.0,388.5,477.0,388.5,14.083333333333334
02-05-2017 12:00,3.2520000000000002,40.024499999999996,42.15033333333333,2.1258333333333304,13.566666666666668,61.730239259999905,519.0,507.0,519.0,507.0,13.566666666666668
02-05-2017 12:30,8.339166666666666,87.35566666666666,91.65899999999999,4.303333333333335,14.299999999999999,150.39382435833338,543.0,621.5,543.0,621.5,14.299999999999999
02-05-2017 13:00,8.327166666666667,87.29700000000001,89.15899999999999,1.8619999999999972,14.149999999999999,64.96506381499991,567.0,736.0,567.0,736.0,14.149999999999999
02-05-2017 13:30,8.338,89.59816666666667,91.23366666666668,1.635499999999998,14.166666666666666,57.16228519833326,395.0,396.0,395.0,396.0,14.166666666666666
02-05-2017 14:00,8.341833333333334,92.72033333333331,95.39466666666665,2.674333333333339,14.550000000000002,93.47716184833354,223.0,56.0,223.0,56.0,14.550000000000002
02-05-2017 14:30,8.327833333333333,93.21616666666667,94.27016666666667,1.053999999999995,14.749999999999998,38.11775683333324,155.0,34.5,155.0,34.5,14.749999999999998
02-05-2017 15:00,8.317833333333335,90.53516666666667,90.7615,0.22633333333334113,14.600000000000001,8.53382258166688,87.0,13.0,87.0,13.0,14.600000000000001
02-05-2017 15:30,8.328,91.04299999999999,91.75633333333333,0.7133333333333454,15.0,24.89268245666709,101.5,148.0,101.5,148.0,15.0
02-05-2017 16:00,8.312333333333333,90.84999999999998,91.272,0.42200000000002547,14.816666666666665,14.697701553334221,116.0,283.0,116.0,283.0,14.816666666666665
02-05-2017 16:30,8.307833333333335,89.28299999999997,89.64633333333335,0.36333333333335105,14.733333333333333,12.64717002333395,58.0,141.5,58.0,141.5,14.733333333333333
02-05-2017 17:00,7.631000000000001,85.75,85.94333333333334,0.19333333333334224,14.649999999999999,7.121097740000491,0.0,0.0,0.0,0.0,14.649999999999999
02-05-2017 17:30,0.7125,14.265666666666666,14.291166666666667,0.025500000000000966,13.800000000000002,0.7446028050000283,0.0,0.0,0.0,0.0,13.800000000000002
02-05-2017 18:00,0.0,0.0,0.0,0.0,12.983333333333334,0.0,0.0,0.0,0.0,0.0,12.983333333333334
02-05-2017 18:30,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,12.1
02-05-2017 19:00,0.0,0.0,0.0,0.0,11.633333333333335,0.0,0.0,0.0,0.0,0.0,11.633333333333335
02-05-2017 19:30,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,11.15
02-05-2017 20:00,0.0,0.0,0.0,0.0,10.550000000000002,0.0,0.0,0.0,0.0,0.0,10.550000000000002
02-05-2017 20:30,0.0,0.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,0.0,10.15
02-05-2017 21:00,0.0,0.0,0.0,0.0,9.583333333333334,0.0,0.0,0.0,0.0,0.0,9.583333333333334
02-05-2017 21:30,0.0,0.0,0.0,0.0,9.183333333333334,0.0,0.0,0.0,0.0,0.0,9.183333333333334
02-05-2017 22:00,0.0,0.0,0.0,0.0,8.883333333333333,0.0,0.0,0.0,0.0,0.0,8.883333333333333
02-05-2017 22:30,0.0,0.0,0.0,0.0,8.45,0.0,0.0,0.0,0.0,0.0,8.45
02-05-2017 23:00,0.0,0.0,0.0,0.0,7.883333333333334,0.0,0.0,0.0,0.0,0.0,7.883333333333334
02-05-2017 23:30,0.0,0.0,0.0,0.0,7.599999999999999,0.0,0.0,0.0,0.0,0.0,7.599999999999999
03-05-2017 00:00,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,0.0,0.0,7.45
03-05-2017 00:30,0.0,0.0,0.0,0.0,7.500000000000001,0.0,0.0,0.0,0.0,0.0,7.500000000000001
03-05-2017 01:00,0.0,0.0,0.0,0.0,7.633333333333333,0.0,0.0,0.0,0.0,0.0,7.633333333333333
03-05-2017 01:30,0.0,0.0,0.0,0.0,6.683333333333334,0.0,0.0,0.0,0.0,0.0,6.683333333333334
03-05-2017 02:00,0.0,0.0,0.0,0.0,6.516666666666666,0.0,0.0,0.0,0.0,0.0,6.516666666666666
03-05-2017 02:30,0.0,0.0,0.0,0.0,6.316666666666667,0.0,0.0,0.0,0.0,0.0,6.316666666666667
03-05-2017 03:00,0.0,0.0,0.0,0.0,6.099999999999999,0.0,0.0,0.0,0.0,0.0,6.099999999999999
03-05-2017 03:30,0.0,0.0,0.0,0.0,5.733333333333334,0.0,0.0,0.0,0.0,0.0,5.733333333333334
03-05-2017 04:00,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5
03-05-2017 04:30,0.0,0.0,0.0,0.0,5.3500000000000005,0.0,0.0,0.0,0.0,0.0,5.3500000000000005
03-05-2017 05:00,0.0,0.0,0.0,0.0,5.116666666666667,0.0,0.0,0.0,0.0,0.0,5.116666666666667
03-05-2017 05:30,0.0,0.0,0.0,0.0,4.8500000000000005,0.0,0.0,0.0,0.0,0.0,4.8500000000000005
03-05-2017 06:00,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.55
03-05-2017 06:30,0.0,0.0,0.0,0.0,4.316666666666667,0.0,30.5,91.0,30.5,91.0,4.316666666666667
03-05-2017 07:00,0.0,0.0,0.0,0.0,4.15,0.0,61.0,182.0,61.0,182.0,4.15
03-05-2017 07:30,0.0,0.0,0.0,0.0,4.366666666666667,0.0,143.0,338.5,143.0,338.5,4.366666666666667
03-05-2017 08:00,0.0,0.0,0.0,0.0,4.983333333333333,0.0,225.0,495.0,225.0,495.0,4.983333333333333
03-05-2017 08:30,0.0,0.0,0.0,0.0,7.033333333333334,0.0,313.5,623.5,313.5,623.5,7.033333333333334
03-05-2017 09:00,0.0,0.0,0.0,0.0,8.766666666666666,0.0,402.0,752.0,402.0,752.0,8.766666666666666
03-05-2017 09:30,0.0,0.0,0.0,0.0,9.966666666666667,0.0,468.5,806.5,468.5,806.5,9.966666666666667
03-05-2017 10:00,0.0,0.0,0.0,0.0,11.233333333333334,0.0,535.0,861.0,535.0,861.0,11.233333333333334
03-05-2017 10:30,4.638833333333333,75.854,83.11433333333333,7.260333333333333,12.066666666666665,140.06690454500003,570.0,877.5,570.0,877.5,12.066666666666665
03-05-2017 11:00,7.618833333333334,80.67816666666667,85.80716666666666,5.1290000000000004,12.866666666666665,161.83609214333333,605.0,894.0,605.0,894.0,12.866666666666665
