,Time,Power_output,GHI,DNI,Amb_temp,pred_GHI,pred_DNI,pred_Amb_temp
0,2017-05-02 00:00:00,0.0,0.0,0.0,8.883333333333335,0.0,0.0,5.231977573678122
1,2017-05-02 00:30:00,0.0,0.0,0.0,8.383333333333333,0.0,0.0,6.7019215357901984
2,2017-05-02 01:00:00,0.0,0.0,0.0,7.949999999999999,0.0,0.0,5.00550679469758
3,2017-05-02 01:30:00,0.0,0.0,0.0,7.416666666666667,0.0,0.0,9.366074276240305
4,2017-05-02 02:00:00,0.0,0.0,0.0,7.25,0.0,0.0,7.953623094384884
5,2017-05-02 02:30:00,0.0,0.0,0.0,7.083333333333333,0.0,0.0,5.494698733229835
6,2017-05-02 03:00:00,0.0,0.0,0.0,7.366666666666666,0.0,0.0,8.574134990395168
7,2017-05-02 03:30:00,0.0,0.0,0.0,7.883333333333333,0.0,0.0,5.97648335846371
8,2017-05-02 04:00:00,0.0,0.0,0.0,7.883333333333333,0.0,0.0,6.66100801052083
9,2017-05-02 04:30:00,0.0,0.0,0.0,7.616666666666666,0.0,0.0,8.479072988585129
10,2017-05-02 05:00:00,0.0,0.0,0.0,7.216666666666668,0.0,0.0,4.813914653228596
11,2017-05-02 05:30:00,0.0,0.0,0.0,7.133333333333333,0.0,0.0,6.32631674527763
12,2017-05-02 06:00:00,0.0,0.0,0.0,7.1000000000000005,0.0,0.0,5.929813324707014
13,2017-05-02 06:30:00,0.0,0.0,0.0,7.199999999999999,0.0,0.0,9.360873130474436
14,2017-05-02 07:00:00,0.0,0.0,0.0,6.916666666666665,0.0,0.0,8.028076768273422
15,2017-05-02 07:30:00,1.9698342250000225,41.0,27.0,6.400000000000001,41.45602493288398,25.82916702265188,6.270608698313885
16,2017-05-02 08:00:00,9.796595703333312,82.0,54.0,6.3999999999999995,31.62566811767917,0.0,7.191631181473784
17,2017-05-02 08:30:00,8.750810111666643,123.5,77.5,6.533333333333334,0.0,67.77907095179273,4.101220716302427
18,2017-05-02 09:00:00,1.8842709333332737,165.0,101.0,6.883333333333334,175.38726571209415,116.41589903520386,8.935941474043686
19,2017-05-02 09:30:00,0.0,178.0,75.5,7.283333333333332,110.15175629050023,0.0,6.423096361359178
20,2017-05-02 10:00:00,0.0,191.0,50.0,7.633333333333333,233.75945475590925,70.28669243956637,6.040120416716498
21,2017-05-02 10:30:00,0.0,271.5,157.5,8.216666666666667,212.5604972895093,178.72806163712997,8.339617600979668
22,2017-05-02 11:00:00,0.0,352.0,265.0,8.633333333333335,417.808630760171,157.8367930463843,7.5489081066134975
23,2017-05-02 11:30:00,0.0,408.5,465.0,9.883333333333333,404.12667183593953,617.1210451536864,10.815278137029772
24,2017-05-02 12:00:00,0.0,465.0,665.0,11.699999999999998,509.89466478820833,675.5321090809861,11.888873989144514
25,2017-05-02 12:30:00,24.33744460666666,447.5,691.0,13.399999999999999,398.19925312846846,763.991256023123,13.825010955243652
26,2017-05-02 13:00:00,89.69625389500003,430.0,717.0,13.700000000000001,409.6673253682919,830.0115204878052,11.949436510773227
27,2017-05-02 13:30:00,126.99681268166664,377.0,657.5,13.483333333333334,281.0543922135691,702.8054480661307,12.136405468017445
28,2017-05-02 14:00:00,129.70290462833333,324.0,598.0,14.066666666666665,373.67179877672,589.3267160819665,15.475432014976072
29,2017-05-02 14:30:00,116.18109514999999,251.0,472.5,14.233333333333333,238.31193794051703,583.3524551956698,12.823035521677486
30,2017-05-02 15:00:00,95.91618040166668,178.0,347.0,14.866666666666667,146.3854078404886,404.2313762094481,16.640281822716354
31,2017-05-02 15:30:00,55.348464924999945,108.5,212.0,15.416666666666666,107.43573328601181,269.5017269348246,14.92373788552414
32,2017-05-02 16:00:00,0.0,39.0,77.0,15.549999999999999,114.91271627588863,109.15009784737123,15.458014457773515
33,2017-05-02 16:30:00,0.0,19.5,38.5,14.816666666666668,0.0,0.0,14.268489205251136
34,2017-05-02 17:00:00,0.0,0.0,0.0,13.583333333333334,0.0,0.0,11.18095982457698
35,2017-05-02 17:30:00,0.0,0.0,0.0,12.583333333333334,0.0,0.0,12.307152115251787
36,2017-05-02 18:00:00,0.0,0.0,0.0,11.6,0.0,0.0,9.305613526605798
37,2017-05-02 18:30:00,0.0,0.0,0.0,10.783333333333333,0.0,0.0,8.393857582716036
38,2017-05-02 19:00:00,0.0,0.0,0.0,10.15,0.0,0.0,11.42332545140232
39,2017-05-02 19:30:00,0.0,0.0,0.0,9.616666666666667,0.0,0.0,12.45935119325727
40,2017-05-02 20:00:00,0.0,0.0,0.0,9.216666666666667,0.0,0.0,9.088712694122119
41,2017-05-02 20:30:00,0.0,0.0,0.0,8.950000000000001,0.0,0.0,8.809778503408042
42,2017-05-02 21:00:00,0.0,0.0,0.0,8.733333333333334,0.0,0.0,8.436184977031443
43,2017-05-02 21:30:00,0.0,0.0,0.0,8.283333333333333,0.0,0.0,8.234244964843151
44,2017-05-02 22:00:00,0.0,0.0,0.0,7.900000000000001,0.0,0.0,6.848653267246574
45,2017-05-02 22:30:00,0.0,0.0,0.0,8.4,0.0,0.0,6.728722665089331
46,2017-05-02 23:00:00,0.0,0.0,0.0,8.466666666666667,0.0,0.0,9.077793499662482
47,2017-05-02 23:30:00,0.0,0.0,0.0,8.333333333333334,0.0,0.0,8.90397460380713
48,2017-05-03 00:00:00,0.0,0.0,0.0,21.850000379999997,0.0,0.0,19.226553086647957
49,2017-05-03 00:30:00,0.0,0.0,0.0,21.14999962,0.0,0.0,21.44515611310597
