Time,Power_output,GHI,DNI,Amb_temp,pred_GHI,pred_DNI,pred_Amb_temp
2017-02-04 00:00:00,0.0,0.0,0.0,22.1,0.0,0.0,21.799853001743994
2017-02-04 00:30:00,0.0,0.0,0.0,21.849999999999998,0.0,0.0,21.82362330910069
2017-02-04 01:00:00,0.0,0.0,0.0,21.499999999999996,0.0,0.0,20.393141374938445
2017-02-04 01:30:00,0.0,0.0,0.0,21.099999999999998,0.0,0.0,20.050272330955828
2017-02-04 02:00:00,0.0,0.0,0.0,19.7,0.0,0.0,20.24621253951003
2017-02-04 02:30:00,0.0,0.0,0.0,18.649999999999995,0.0,0.0,18.529788047860308
2017-02-04 03:00:00,0.0,0.0,0.0,18.499999999999996,0.0,0.0,18.350516819795647
2017-02-04 03:30:00,0.0,0.0,0.0,18.150000000000002,0.0,0.0,17.07123456977777
2017-02-04 04:00:00,0.0,0.0,0.0,17.45,0.0,0.0,16.7188288557812
2017-02-04 04:30:00,0.0,0.0,0.0,17.250000000000004,0.0,0.0,18.070297500747742
2017-02-04 05:00:00,0.0,0.0,0.0,17.349999999999998,0.0,0.0,13.29793496135565
2017-02-04 05:30:00,0.0,0.0,0.0,17.45,0.0,0.0,17.889954359048872
2017-02-04 06:00:00,0.0,0.0,0.0,16.3,0.0,0.0,18.427941769940315
2017-02-04 06:30:00,0.0,17.5,2.5,16.2,4.212398656087993,0.0,16.947262950368525
2017-02-04 07:00:00,0.0,35.0,5.0,16.3,101.00649302367577,78.19781747543176,17.417218837558025
2017-02-04 07:30:00,0.0,154.5,133.5,17.150000000000002,171.36059058201317,232.89944312195817,18.36315420397949
2017-02-04 08:00:00,0.0,274.0,262.0,17.900000000000002,186.79221091451933,311.9481158166531,17.628656303999943
2017-02-04 08:30:00,0.0,271.0,163.0,18.400000000000002,201.34342676760633,125.82577468110335,19.514783221134984
2017-02-04 09:00:00,1.93858772799999,268.0,64.0,20.150000000000002,257.40279097681747,97.32235705279464,20.982634211325088
2017-02-04 09:30:00,1.3066300565599658,328.5,80.5,22.900000000000002,225.3673257500141,0.0,23.349898798122613
2017-02-04 10:00:00,0.8359019191466427,389.0,97.0,23.75,394.8503203883124,42.04545873325708,27.381499521518414
2017-02-04 10:30:00,2.319346553093282,478.5,126.0,24.500000000000004,483.37021909113116,147.35103112761962,24.1261778779517
2017-02-04 11:00:00,4.589125927506575,568.0,155.0,25.950000000000003,517.4157691577864,132.71177660775683,27.350409290482318
2017-02-04 11:30:00,5.088760977026692,789.5,518.5,26.700000000000003,771.3076343013157,606.8008801942906,26.10377499953653
2017-02-04 12:00:00,10.077603877733324,1011.0,882.0,28.650000000000002,959.6300300108436,1075.2241493628376,28.975433701183018
2017-02-04 12:30:00,12.663654459706585,1014.5,850.5,30.2,980.701675838791,730.5080606140689,30.618414201322455
2017-02-04 13:00:00,17.67384253509341,1018.0,819.0,31.3,926.2445522192,803.3019151019753,31.656767226143117
2017-02-04 13:30:00,0.0,775.5,443.0,32.449999999999996,736.7062957750305,360.18929667353757,33.16523738263368
2017-02-04 14:00:00,1.922779345039988,533.0,67.0,32.7,483.3968137825403,104.72944707848363,32.096828101971525
2017-02-04 14:30:00,0.5987287996801086,721.5,489.0,33.4,656.9122738155353,436.9504892250759,34.24412229551231
2017-02-04 15:00:00,5.543289548786563,910.0,911.0,33.25,925.2281870133153,958.6651102246777,32.95181389361366
2017-02-04 15:30:00,5.934606245880052,824.0,903.5,34.150000000000006,862.8135190650718,878.6634667467806,33.61146376028766
2017-02-04 16:00:00,6.488966265266683,738.0,896.0,34.25,729.3883181956536,879.2826191184159,33.35189108316852
2017-02-04 16:30:00,2.2679121199999996,560.0,605.0,34.4,571.4064248571615,626.9007160249008,32.38838116259799
2017-02-04 17:00:00,6.69399337164014,382.0,314.0,34.75,279.8887509227873,367.1463722019886,33.66943155433209
2017-02-04 17:30:00,6.702107366986662,303.5,309.0,34.800000000000004,350.8026360579617,411.9364163959814,33.841943435688314
2017-02-04 18:00:00,0.0,225.0,304.0,34.6,313.0702309666884,354.7539196991931,31.884783798952192
2017-02-04 18:30:00,0.0,166.0,379.5,34.35,153.17299106441524,266.39403129948664,32.215577635112915
2017-02-04 19:00:00,0.0,107.0,455.0,34.199999999999996,141.9646360818444,432.9887782766548,32.81130936205978
2017-02-04 19:30:00,0.0,53.5,227.5,33.800000000000004,95.57936183367102,293.5825967421542,31.61933203506051
2017-02-04 20:00:00,0.0,0.0,0.0,33.1,0.0,0.0,32.95664240179984
2017-02-04 20:30:00,0.0,0.0,0.0,32.199999999999996,0.0,0.0,29.39766591339507
2017-02-04 21:00:00,0.0,0.0,0.0,31.8,0.0,0.0,32.07326895485954
2017-02-04 21:30:00,0.0,0.0,0.0,31.7,0.0,0.0,30.324640889809267
2017-02-04 22:00:00,0.0,0.0,0.0,31.400000000000002,0.0,0.0,30.904969970010836
2017-02-04 22:30:00,0.0,0.0,0.0,30.950000000000003,0.0,0.0,31.962419039633776
2017-02-04 23:00:00,0.0,0.0,0.0,30.349999999999998,0.0,0.0,27.329172002966708
2017-02-04 23:30:00,0.0,0.0,0.0,29.749999999999996,0.0,0.0,31.255390822506172
2017-02-07 00:00:00,0.0,0.0,0.0,14.9,0.0,0.0,15.196971073333234
2017-02-07 00:30:00,0.0,0.0,0.0,14.799999999999999,0.0,0.0,13.875113273279469
2017-02-07 01:00:00,0.0,0.0,0.0,14.750000000000002,0.0,0.0,14.984398251533635
2017-02-07 01:30:00,0.0,0.0,0.0,14.549999999999999,0.0,0.0,15.24839587389373
